Year,Sri Lanka Agri.,Sri Lanka Man.,Pakistan Agri.,Pakistan Man.,Sri Lanka Tadable,Pakistan Tradable,Sri Lanka Population,Pakistan Population,Sri Lanka Per Capita Tradable,Pakistan Per Capita Tradable
1960,452628709.264706,230672268.907563,1619277614.44771,423771524.569509,683300978.172269,2043049139.01722,9874476,45954226,69.1987076754522,44.4583516435947
1961,475327540.504202,230041995.798319,1718605627.88744,478370432.591348,705369536.302521,2196976060.47879,10111639,47060915,69.7581802814085,46.6836664879718
1962,445915395.329218,237654300.411523,1725325493.49013,549559008.819824,683569695.740741,2274884502.30995,10352180,48161841,66.0314731525863,47.2341682767058
1963,401354271.042017,203193260.504202,1798614027.71945,635237295.254095,604547531.546219,2433851322.97355,10597516,49325050,57.0461541691675,49.3431090890643
1964,405529192.184874,212268890.756303,1994750104.9979,715875682.48635,617798082.941177,2710625787.48425,10849977,50552592,56.9400361808303,53.6199170061201
1965,485122994.60084,297689054.621849,2191936161.27677,790844183.116338,782812049.222689,2982780344.39311,11110825,51841626,70.4548986436821,57.5363964161369
1966,502368228.592437,280462205.882353,2220075598.48803,903191936.161277,782830434.474790,3123267534.64931,11380665,53199414,68.7860010355098,58.7086830439394
1967,559275604.403292,280452695.473251,2616547669.04662,990970180.596388,839728299.876543,3607517849.64301,11657650,54629793,72.032382159058,66.0357224791793
1968,569726904.537815,290420168.067227,2938681226.37547,1095968080.63839,860147072.605042,4034649307.01386,11937607,56124743,72.053559193651,71.8871765170285
1969,576361745.798319,340000016.806723,2947921041.57917,1269634607.30785,916361762.605042,4217555648.88702,12214948,57676805,75.0197023028704,73.1239472936655
1970,660643350.336134,369243680.672269,3352372952.54095,1462620747.58505,1029887031.008400,4814993700.12600,12485736,59290872,82.4850878641355,81.2096961590648
1971,652127438.161889,404553136.593592,3409491810.1638,1621797564.04872,1056680574.755480,5031289374.21252,12747831,60878781,82.8910090473807,82.6443843251809
1972,682889314.321608,434170854.271357,3088341656.62132,1382813845.35905,1117060168.592970,4471155501.98037,13002234,62509565,85.9129414678255,71.5275414567414
1973,795661200.1875,487812484.375,2071975787.38296,942305873.451244,1283473684.5625,3014281660.8342,13252033,64285624,96.8510782128674,46.8888916880421
1974,1198513211.08271,652932345.864662,2836767676.76768,1374040404.0404,1851445556.94737,4210808080.80808,13501931,66149169,137.124501447043,63.6562506296652
1975,1162011206.64765,735806005.706134,3387171717.17172,1605151515.15152,1897817212.35378,4992323232.32324,13755141,68126999,137.971483705894,73.2796586610727
1976,1052996951.12961,668252045.184304,3872525252.52525,1799191919.19192,1721248996.31391,5671717171.71717,14012894,70230923,122.833227477059,80.7581180688337
1977,1271487722.77339,904509594.137542,4441212121.21212,2059494949.49495,2175997316.91093,6500707070.70707,14273495,72451105,152.450210471292,89.7254371856312
1978,841415724.279308,518513779.628443,5107777777.77778,2420303030.30303,1359929503.907750,7528080808.08081,14533691,74789330,93.57082821616,100.657149998279
1979,916395653.050739,609120122.029544,5469393939.39394,2762020202.0202,1525515775.080280,8231414141.41414,14788866,77407341,103.15299192516,106.338934202819
1980,1119568807.6225,668360526.315789,6279191919.19192,3363636363.63636,1787929333.93829,9642828282.82828,15035840,80624057,118.911170505824,119.60236983396
1981,1234740284.15584,669246768.831169,7717070707.07071,3782424242.42424,1903987052.98701,11499494949.49500,15272822,84270202,124.665045725473,136.459800458233
1982,1268465275.78087,653580028.832292,8740853080.56872,4189289099.52607,1922045304.61316,12930142180.09480,15501210,87828198,123.993243405719,147.220852465797
1983,1471615363.8334,678198028.049299,7825196850.3937,3952755905.51181,2149813391.8827,11777952755.9055,15724641,91080372,136.716214499441,129.313841141377
1984,1743934672.40566,821147775.157233,7758236865.53874,4481893737.01395,2565082447.56289,12240130602.55270,15948501,94003867,160.835331644202,130.208798777956
1985,1677404511.81885,804455077.319588,8000857519.78892,4458839050.13193,2481859589.13844,12459696569.92090,16176282,97121552,153.42583599485,128.289718536632
1986,1758550355.78158,887544582.441113,7985182889.02666,4704339739.61562,2646094938.22269,12689522628.64230,16408861,100618523,161.260122699722,126.115174923034
1987,1824384640.65897,967051616.847826,7882784736.38217,5001456452.08273,2791436257.5068,12884241188.46490,16643956,104251093,167.714710223146,123.588547781124
1988,1862082394.49859,983904460.861364,8907718598.68983,5748618627.17175,2845986855.35995,14656337225.86160,16878186,107967838,168.619237598161,135.747251194023
1989,1813614001.80305,969237217.753121,9606350167.26073,5924161217.42852,2782851219.55617,15530511384.68930,17106752,111670386,162.675604320222,139.074574208862
1990,2143485925.08737,1076585134.7978,9229233861.5435,6185621464.96518,3220071059.88517,15414855326.5087,17325769,115414069,185.854437969545,133.56131934408
1991,2438015566.83587,1204157565.86899,10421919424.9236,7100835076.80203,3642173132.70486,17522754501.7256,17535732,119203569,207.70009103155,146.998572683051
1992,2534655740.36048,1354004150.12548,11395008171.7479,7539476604.58829,3888659890.48596,18934484776.3362,17736827,122375179,219.242138996223,154.724879105886
1993,2572336206.53974,1425517350.99338,11500741450.1529,8004301955.57478,3997853557.53312,19505043405.7277,17924827,125546615,223.034429148639,155.360966169639
1994,2809159625.65763,1628530977.33711,11898238487.3396,8213256388.35055,4437690602.99474,20111494875.6902,18094474,129245139,245.251152533903,155.607360023731
1995,3015088050.73171,1836058493.65854,14202096027.2971,8863660736.04679,4851146544.39025,23065756763.3439,18242917,133117476,265.919454898043,173.273693706031
1996,3132420047.04179,2039515107.65334,14687606396.0052,9249807367.23272,5171935154.69513,23937413763.2379,18367290,137234810,281.584009110496,174.42669074441
1997,3312463907.44194,2235565350.05933,15286325830.1302,9090514082.96803,5548029257.50127,24376839913.0982,18470897,141330267,300.365989670197,172.481383008342
1998,3342925531.4197,2343010085.33747,15736516570.7809,9131384030.08266,5685935616.75717,24867900600.8636,18564595,145476106,306.278462673555,170.941478189302
1999,3245318936.86297,2308932616.08154,15850069545.2022,9076752614.10664,5554251552.94451,24926822159.3088,18663293,149694462,297.602976760024,166.51799823636
2000,3254292790.54668,2458524866.9004,21010698236.289,8382043971.97391,5712817657.44708,29392742208.2629,18777606,154369924,304.235676126503,190.404590781964
2001,3160440916.51746,2223830055.95345,19233854345.5857,8452696667.81175,5384270972.47091,27686551013.3975,18911727,159217727,284.705409107847,173.891133450219
2002,2361305261.34225,3160830022.99812,18428434556.6742,8479262747.64534,5522135284.34037,26907697304.3195,19062476,163262807,289.686150127631,164.812168789426
2003,2498154786.57273,3510484873.60133,20980809288.0314,9957094075.46526,6008639660.17406,30937903363.4967,19224036,166876680,312.558697880823,185.393809149947
2004,2591866785.25546,3868178673.78199,24874118464.478,12665850269.2374,6460045459.03745,37539968733.7154,19387153,170648620,333.212692912541,219.984015890169
2005,2884636815.9204,4762298507.46269,27565198053.8297,15242428939.1754,7646935323.38309,42807626993.0051,19544988,174372098,391.247890425059,245.495853315965
2006,3205879069.69583,5437042411.83128,29659987369.8139,17797920363.0009,8642921481.52711,47457907732.8148,19695977,178069984,438.816590897071,266.512674774064
2007,3779532683.92164,5984124487.44929,33220806079.7372,20219809942.2438,9763657171.37093,53440616021.9810,19842044,181924521,492.069122080917,293.751582954455
2008,5447182689.05919,7309796203.95481,38267960637.2859,25147466285.0839,12756978893.01400,63415426922.3698,19983984,185931955,638.360143453578,341.067929514159
2009,5339032300.72174,7617238883.35966,38199820887.8409,21389915450.3983,12956271184.08140,59589736338.2392,20123508,190123222,643.837604461479,313.426922347441
2010,5305596524.10792,10822289175.6475,41246976135.6026,23164159788.7406,16127885699.7554,64411135924.3432,20261738,194454498,795.977408243824,331.240144027644
2011,6459029000.08321,12612740120.7613,53672771298.9182,29539365353.5338,19071769120.8445,83212136652.4520,20398496,198602738,934.959573531524,418.987862354909
2012,5572576346.71177,13904826051.6569,53201914477.565,31449233996.304,19477402398.3687,84651148473.869,20425000,202205861,953.605992576191,418.638451206264
2013,6101992452.87404,13909873383.2291,55104278218.4763,31371994298.4631,20011865836.1031,86476272516.9394,20585000,205337562,972.157679674671,421.142004778158
2014,6668889158.40193,14158948162.0989,58022369257.8047,33092404258.3144,20827837320.5008,91114773516.1191,20778000,208251628,1002.39856196462,437.522502902686
2015,6995980935.08685,13773219510.3819,64438524763.9056,34609781049.1571,20769200445.4688,99048305813.0627,20970000,210969298,990.424437075289,469.491564659151
2016,6391202710.91765,14098384386.9113,70028310503.1583,35160791965.7207,20489587097.829,105189102468.8790,21203000,213524840,966.353209349102,492.631688513987
2017,7012795719.01993,14053846260.0625,74500419799.2596,38328006335.1525,21066641979.0824,112828426134.4120,21444000,216379655,982.402629130871,521.43731412462
2018,7174033321.0435,14205050876.22,77106160166.6968,41320634182.1143,21379084197.2635,118426794348.8110,21670000,219731479,986.575182153369,538.961440062081
2019,6459147331.75604,14385536160.752,66357251243.936,40393758595.4495,20844683492.508,106751009839.386,21803000,223293280,956.046575815622,478.075335896297
2020,6954413645.26387,13729767648.0636,65655423445.5128,34296814719.088,20684181293.3275,99952238164.6008,21919000,227196741,943.664459753068,439.936936263539
2021,7740955207.66291,15910477631.7377,78964187582.1381,41485335512.1283,23651432839.4006,120449523094.2660,22156000,231402117,1067.49561470485,520.52040256082
