Country,Year,KY
LKA,1990,1.62646443913492000
LKA,1991,1.53051463033080000
LKA,1992,1.39326919053213000
LKA,1993,1.30063435967683000
LKA,1994,1.25844843640172000
LKA,1995,1.35772584880315000
LKA,1996,1.37005064325499000
LKA,1997,1.36348703215608000
LKA,1998,1.31214017740223000
LKA,1999,1.35659450002187000
LKA,2000,1.38895618599157000
LKA,2001,1.42473976625779000
LKA,2002,1.41471488047237000
LKA,2003,1.38142659939189000
LKA,2004,1.48288906465101000
LKA,2005,1.59733025999699000
LKA,2006,1.65556740638517000
LKA,2007,1.77963827048165000
LKA,2008,1.98162667888973000
LKA,2009,2.12442729854078000
LKA,2010,2.27181548215063000
LKA,2011,2.28585711938374000
LKA,2012,2.23181880834324000
LKA,2013,2.36637013408064000
LKA,2014,2.53035568754659000
LKA,2015,2.51620412746561000
LKA,2016,2.63497039103005000
LKA,2017,2.71989871772072000
LKA,2018,2.80149944998242000
LKA,2019,2.87916934547196000
PAK,1990,1.02523124850583000
PAK,1991,1.10330260241878000
PAK,1992,1.13246657266958000
PAK,1993,1.19965566940801000
PAK,1994,1.28079199375965000
PAK,1995,1.30148459654660000
PAK,1996,1.32036358418798000
PAK,1997,1.38347725130709000
PAK,1998,1.37346221441125000
PAK,1999,1.36734380032762000
PAK,2000,1.36127935843687000
PAK,2001,1.40249387373037000
PAK,2002,1.40439545158342000
PAK,2003,1.43399545782837000
PAK,2004,1.40095244173042000
PAK,2005,1.34704937736226000
PAK,2006,1.35507313920355000
PAK,2007,1.40740271958693000
PAK,2008,1.49784956332885000
PAK,2009,1.58976762066174000
PAK,2010,1.65053833132884000
PAK,2011,1.61455191134460000
PAK,2012,1.65653987855918000
PAK,2013,1.66883367952119000
PAK,2014,1.68297383428116000
PAK,2015,1.65363920613599000
PAK,2016,1.64522712809317000
PAK,2017,1.58576797885865000
PAK,2018,1.54499637453749000
PAK,2019,1.53319934412547000